KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKkapittel0000_kode,KOKkapittel0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,KG42,A.1 Varige driftsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,2117598.0
1130,Strand,KG42,A.1 Varige driftsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,2176236.0
1130,Strand,KG42,A.1 Varige driftsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG42,A.1 Varige driftsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,1678639.0
1130,Strand,KG42,A.1 Varige driftsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,1952765.0
1130,Strand,KG42,A.1 Varige driftsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,2117598.0
1130,Strand,KG42,A.1 Varige driftsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,2176236.0
1130,Strand,KG42,A.1 Varige driftsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,1633856.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,1909323.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,2061845.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,2114727.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,1633856.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,1909323.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,2061845.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,2114727.0
1130,Strand,KG43,A.1.1 Faste eiendommer og anlegg,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,44783.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,43442.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,55753.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,61509.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,44783.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,43442.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,55753.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,61509.0
1130,Strand,KG44,"A.1.2 Utstyr, maskiner og transportmidler",C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG96,A.2 Finansielle anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,249338.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,262806.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,288046.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,304227.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG96,A.2 Finansielle anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,249338.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,262806.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,288046.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,304227.0
1130,Strand,KG96,A.2 Finansielle anleggsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG46,A.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,62997.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,64795.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,70477.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,47037.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG46,A.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,62997.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,64795.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,70477.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,47037.0
1130,Strand,KG46,A.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG47,A.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG47,A.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG47,A.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG48,A.2.3 Utlån,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,186341.0
1130,Strand,KG48,A.2.3 Utlån,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,198011.0
1130,Strand,KG48,A.2.3 Utlån,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,217569.0
1130,Strand,KG48,A.2.3 Utlån,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,257190.0
1130,Strand,KG48,A.2.3 Utlån,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG48,A.2.3 Utlån,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,186341.0
1130,Strand,KG48,A.2.3 Utlån,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,198011.0
1130,Strand,KG48,A.2.3 Utlån,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,217569.0
1130,Strand,KG48,A.2.3 Utlån,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,257190.0
1130,Strand,KG48,A.2.3 Utlån,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG109,A.2.4 Konserninterne langsiktige fordringer,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG49,A.3. Immaterielle eiendeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG49,A.3. Immaterielle eiendeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG49,A.3. Immaterielle eiendeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG50,A.4 Pensjonsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,993696.0
1130,Strand,KG50,A.4 Pensjonsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,968229.0
1130,Strand,KG50,A.4 Pensjonsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,1022601.0
1130,Strand,KG50,A.4 Pensjonsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,1124682.0
1130,Strand,KG50,A.4 Pensjonsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG50,A.4 Pensjonsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,993696.0
1130,Strand,KG50,A.4 Pensjonsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,968229.0
1130,Strand,KG50,A.4 Pensjonsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,1022601.0
1130,Strand,KG50,A.4 Pensjonsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,1124682.0
1130,Strand,KG50,A.4 Pensjonsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG97,B. Omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,401767.0
1130,Strand,KG97,B. Omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,422502.0
1130,Strand,KG97,B. Omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,417101.0
1130,Strand,KG97,B. Omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,484058.0
1130,Strand,KG97,B. Omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG97,B. Omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,401767.0
1130,Strand,KG97,B. Omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,422502.0
1130,Strand,KG97,B. Omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,417101.0
1130,Strand,KG97,B. Omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,484058.0
1130,Strand,KG97,B. Omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG52,B.1 Bankinnskudd,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,322796.0
1130,Strand,KG52,B.1 Bankinnskudd,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,327810.0
1130,Strand,KG52,B.1 Bankinnskudd,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,343260.0
1130,Strand,KG52,B.1 Bankinnskudd,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,360773.0
1130,Strand,KG52,B.1 Bankinnskudd,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG52,B.1 Bankinnskudd,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,322796.0
1130,Strand,KG52,B.1 Bankinnskudd,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,327810.0
1130,Strand,KG52,B.1 Bankinnskudd,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,343260.0
1130,Strand,KG52,B.1 Bankinnskudd,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,360773.0
1130,Strand,KG52,B.1 Bankinnskudd,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG53,B.2 Finansielle omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG53,B.2 Finansielle omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG53,B.2 Finansielle omløpsmidler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG54,B.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG54,B.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG54,B.2.1 Aksjer og andeler,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG55,B.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG55,B.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG55,B.2.2 Obligasjoner,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG56,B.2.3 Sertifikater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG56,B.2.3 Sertifikater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG56,B.2.3 Sertifikater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG56,B.2.3 Sertifikater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG56,B.2.3 Sertifikater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG56,B.2.3 Sertifikater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG56,B.2.3 Sertifikater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG56,B.2.3 Sertifikater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG56,B.2.3 Sertifikater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG56,B.2.3 Sertifikater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG57,B.2.4 Derivater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,KG57,B.2.4 Derivater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,KG57,B.2.4 Derivater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,KG57,B.2.4 Derivater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,KG57,B.2.4 Derivater,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,KG57,B.2.4 Derivater,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
